Id,Prediction
1,1
2,5
3,4
4,8
5,1
6,4
7,4
8,9
9,5
10,5
11,5
12,0
13,3
14,3
15,7
16,8
17,3
18,4
19,4
20,1
21,4
22,5
23,6
24,3
25,5
26,4
27,2
28,2
29,8
30,2
31,9
32,2
33,7
34,4
35,9
36,7
37,6
38,8
39,5
40,2
41,8
42,4
43,6
44,2
45,9
46,0
47,2
48,7
49,8
50,9
51,0
52,6
53,9
54,0
55,4
56,7
57,0
58,2
59,2
60,9
61,0
62,4
63,5
64,4
65,1
66,0
67,8
68,6
69,2
70,4
71,5
72,9
73,0
74,8
75,7
76,5
77,8
78,3
79,1
80,3
81,6
82,1
83,7
84,7
85,6
86,8
87,6
88,1
89,3
90,1
91,2
92,8
93,4
94,9
95,8
96,7
97,6
98,0
99,5
100,6
101,4
102,9
103,0
104,2
105,2
106,7
107,3
108,7
109,9
110,1
111,2
112,9
113,0
114,0
115,4
116,1
117,3
118,2
119,3
120,4
121,3
122,1
123,9
124,1
125,8
126,5
127,0
128,6
129,7
130,3
131,4
132,1
133,1
134,8
135,7
136,9
137,1
138,1
139,8
140,6
141,3
142,9
143,8
144,4
145,0
146,2
147,6
148,8
149,4
150,9
151,4
152,8
153,5
154,1
155,9
156,1
157,5
158,4
159,6
160,6
161,3
162,0
163,0
164,6
165,7
166,8
167,6
168,6
169,4
170,8
171,8
172,2
173,9
174,3
175,9
176,3
177,5
178,0
179,6
180,4
181,4
182,1
183,3
184,7
185,5
186,8
187,0
188,4
189,3
190,3
191,2
192,6
193,4
194,1
195,5
196,4
197,4
198,1
199,4
200,2
201,7
202,5
203,1
204,3
205,7
206,0
207,4
208,4
209,8
210,1
211,4
212,1
213,8
214,4
215,3
216,5
217,5
218,2
219,4
220,3
221,8
222,0
223,0
224,5
225,8
226,7
227,2
228,2
229,3
230,3
231,6
232,9
233,5
234,6
235,5
236,7
237,3
238,8
239,4
240,1
241,0
242,3
243,7
244,6
245,3
246,1
247,3
248,4
249,9
250,2
251,4
252,7
253,8
254,3
255,1
256,5
257,6
258,7
259,9
260,1
261,3
262,4
263,7
264,4
265,7
266,8
267,4
268,2
269,7
270,0
271,8
272,6
273,4
274,7
275,1
276,6
277,6
278,8
279,4
280,9
281,4
282,3
283,8
284,9
285,1
286,1
287,3
288,7
289,7
290,2
291,6
292,2
293,3
294,5
295,2
296,1
297,0
298,3
299,7
300,4
301,2
302,5
303,9
304,4
305,6
306,1
307,7
308,8
309,7
310,1
311,2
312,3
313,0
314,4
315,2
316,1
317,3
318,3
319,2
320,5
321,5
322,1
323,2
324,5
325,7
326,3
327,0
328,8
329,5
330,8
331,9
332,4
333,5
334,2
335,1
336,0
337,0
338,3
339,8
340,3
341,3
342,1
343,0
344,7
345,0
346,8
347,5
348,7
349,3
350,4
351,5
352,5
353,6
354,6
355,7
356,8
357,0
358,9
359,2
360,6
361,6
362,6
363,6
364,4
365,9
366,2
367,7
368,9
369,7
370,3
371,4
372,2
373,1
374,2
375,6
376,1
377,5
378,1
379,5
380,1
381,7
382,9
383,3
384,9
385,8
386,7
387,1
388,2
389,8
390,9
391,6
392,5
393,1
394,3
395,7
396,3
397,1
398,5
399,4
400,0
401,8
402,4
403,2
404,4
405,5
406,5
407,2
408,3
409,1
410,2
411,4
412,7
413,3
414,1
415,4
416,3
417,4
418,3
419,4
420,6
421,3
422,8
423,1
424,1
425,6
426,7
427,7
428,6
429,4
430,6
431,2
432,9
433,7
434,2
435,9
436,1
437,5
438,2
439,6
440,4
441,8
442,4
443,0
444,1
445,9
446,3
447,2
448,6
449,0
450,9
451,7
452,3
453,8
454,0
455,3
456,5
457,0
458,8
459,7
460,2
461,6
462,5
463,3
464,4
465,5
466,3
467,4
468,6
469,2
470,7
471,0
472,9
473,0
474,3
475,1
476,6
477,4
478,9
479,3
480,6
481,6
482,8
483,7
484,4
485,6
486,4
487,3
488,7
489,2
490,9
491,5
492,0
493,3
494,2
495,0
496,2
497,9
498,0
499,1
500,1
501,1
502,3
503,0
504,7
505,4
506,8
507,2
508,5
509,6
510,2
511,4
512,7
513,8
514,3
515,2
516,2
517,5
518,4
519,4
520,2
521,5
522,0
523,6
524,0
525,6
526,8
527,2
528,9
529,8
530,2
531,0
532,5
533,2
534,9
535,9
536,7
537,1
538,0
539,1
540,0
541,6
542,4
543,1
544,1
545,6
546,8
547,1
548,1
549,6
550,6
551,3
552,6
553,9
554,9
555,8
556,8
557,4
558,4
559,5
560,8
561,4
562,7
563,6
564,7
565,0
566,5
567,4
568,2
569,1
570,8
571,5
572,1
573,0
574,9
575,8
576,3
577,0
578,7
579,3
580,9
581,8
582,0
583,5
584,0
585,1
586,9
587,4
588,1
589,2
590,4
591,5
592,3
593,4
594,1
595,6
596,5
597,3
598,9
599,9
600,6
601,4
602,8
603,2
604,3
605,0
606,3
607,0
608,0
609,9
610,0
611,2
612,3
613,7
614,8
615,3
616,8
617,8
618,9
619,0
620,9
621,8
622,0
623,9
624,5
625,4
626,8
627,5
628,2
629,1
630,4
631,1
632,2
633,1
634,3
635,5
636,3
637,9
638,9
639,8
640,5
641,2
642,3
643,4
644,4
645,3
646,4
647,1
648,1
649,7
650,9
651,6
652,3
653,4
654,8
655,1
656,7
657,3
658,2
659,1
660,3
661,9
662,0
663,7
664,5
665,1
666,7
667,9
668,5
669,0
670,9
671,7
672,8
673,9
674,9
675,7
676,7
677,8
678,6
679,5
680,0
681,8
682,6
683,2
684,6
685,5
686,1
687,7
688,2
689,0
690,7
691,8
692,8
693,8
694,7
695,0
696,8
697,4
698,4
699,4
700,2
701,2
702,8
703,8
704,4
705,0
706,0
707,7
708,9
709,9
710,4
711,3
712,3
713,1
714,6
715,9
716,1
717,1
718,3
719,0
720,5
721,3
722,6
723,5
724,9
725,9
726,9
727,9
728,9
729,4
730,4
731,8
732,0
733,2
734,2
735,1
736,5
737,0
738,2
739,3
740,4
741,4
742,8
743,5
744,7
745,7
746,7
747,8
748,2
749,0
750,4
751,7
752,3
753,0
754,5
755,2
756,5
757,1
758,9
759,7
760,7
761,3
762,7
763,7
764,8
765,5
766,6
767,2
768,2
769,5
770,2
771,6
772,2
773,0
774,1
775,9
776,0
777,7
778,4
779,9
780,8
781,4
782,3
783,6
784,1
785,9
786,1
787,7
788,5
789,2
790,4
791,1
792,0
793,6
794,0
795,1
796,7
797,2
798,1
799,8
800,3
801,8
802,4
803,2
804,6
805,9
806,6
807,4
808,3
809,2
810,0
811,5
812,8
813,7
814,4
815,7
816,3
817,7
818,0
819,5
820,9
821,8
822,7
823,8
824,5
825,6
826,5
827,0
828,3
829,0
830,6
831,4
832,0
833,7
834,8
835,3
836,1
837,0
838,3
839,6
840,7
841,8
842,3
843,2
844,0
845,8
846,0
847,5
848,0
849,7
850,4
851,7
852,0
853,8
854,5
855,5
856,6
857,4
858,8
859,5
860,3
861,4
862,6
863,6
864,3
865,8
866,0
867,2
868,7
869,5
870,0
871,9
872,6
873,2
874,6
875,1
876,0
877,9
878,5
879,8
880,2
881,9
882,5
883,4
884,1
885,6
886,9
887,3
888,5
889,5
890,8
891,1
892,8
893,4
894,3
895,9
896,8
897,1
898,8
899,8
900,0
901,9
902,4
903,4
904,3
905,1
906,4
907,1
908,5
909,1
910,8
911,5
912,7
913,7
914,3
915,6
916,8
917,9
918,5
919,6
920,3
921,8
922,3
923,2
924,7
925,8
926,4
927,4
928,5
929,7
930,6
931,5
932,5
933,3
934,0
935,4
936,8
937,0
938,6
939,1
940,1
941,7
942,8
943,9
944,1
945,0
946,1
947,0
948,3
949,3
950,5
951,3
952,1
953,7
954,2
955,9
956,1
957,7
958,4
959,7
960,5
961,1
962,0
963,2
964,4
965,3
966,1
967,0
968,1
969,0
970,5
971,2
972,3
973,8
974,4
975,0
976,3
977,4
978,6
979,2
980,6
981,4
982,1
983,4
984,0
985,4
986,8
987,1
988,7
989,1
990,1
991,1
992,3
993,8
994,1
995,5
996,6
997,5
998,9
999,7
1000,5
1001,1
1002,5
1003,6
1004,0
1005,9
1006,1
1007,1
1008,5
1009,6
1010,0
1011,1
1012,8
1013,4
1014,1
1015,8
1016,3
1017,7
1018,6
1019,3
1020,9
1021,6
1022,5
1023,2
1024,4
1025,9
1026,2
1027,0
1028,9
1029,6
1030,4
1031,8
1032,9
1033,6
1034,9
1035,2
1036,9
1037,9
1038,8
1039,6
1040,6
1041,5
1042,9
1043,0
1044,9
1045,3
1046,3
1047,3
1048,4
1049,1
1050,8
1051,9
1052,6
1053,2
1054,6
1055,3
1056,4
1057,2
1058,7
1059,5
1060,0
1061,4
1062,6
1063,6
